,Narration,Withdrawal Amt,Deposit Amt,Withdrawal Sum,Deposit Sum,Net Expense,Net Expense per Month
719,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-403128322275-UPI,40.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
727,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-403305721867-UPI,40.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
728,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-403314634073-UPI,50.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
730,UPI-SWIGGY-SWIGGYUPI@AXISBANK-UTIB0000000-403478832682-SWIGGY ORDER ID 16,239.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
731,UPI-RAINBOW FOOD MART-PAYTMQRNXUBNFG2S6@PAYTM-PYTM0123456-403509147450-UPI,56.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
734,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-403626650797-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
737,UPI-SWIGGYINSTAMART-SWIGGYINSTAMART@YESPAY-YESB0YESUPI-440272814069-DEBIT MONEY USING,271.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
741,UPI-RAINBOW FOOD MART-PAYTMQRNXUBNFG2S6@PAYTM-PYTM0123456-403823741420-UPI,76.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
744,UPI-SWIGGY-SWIGGYUPI@AXISBANK-UTIB0000000-403920099177-SWIGGY ORDER ID 16,365.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
745,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-403964110362-UPI,40.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
748,UPI-SWIGGY-SWIGGY@YESPAY-YESB0YESUPI-440639005600-DEBIT MONEY USING,377.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
751,UPI-SWIGGY-UPISWIGGY@ICICI-ICIC0DC0099-404144975319-PAYMENT FOR SWIGGY,223.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
757,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-404393456259-KITKAT,30.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
